name,price,weight,brand,link
Мясо баранины Ан-Нур для плова охлажденное Халяль 450 г,549руб/шт,450 г,Ан-Нур,https://vkusvill.ru//goods/myaso-baraniny-an-nur-dlya-plova-okhlazhdennoe-khalyal-450-g-110681.html
Ребра Ан-Нур баранины охлажденные Халяль 450 г,499руб/шт,450 г,Ан-Нур,https://vkusvill.ru//goods/rebra-an-nur-baraniny-okhlazhdennye-khalyal-450-g-110683.html
Голень Наша Птичка цыпленка-бройлера охлажденная 900 г,269руб/шт,900 г,Наша Птичка,https://vkusvill.ru//goods/golen-nasha-ptichka-tsyplenka-broylera-okhlazhdennaya-900-g-110415.html
Крыло Наша Птичка цыплят-бройлеров охлажденное 900 г,359руб/шт,900 г,Наша Птичка,https://vkusvill.ru//goods/krylo-nasha-ptichka-tsyplyat-broylerov-okhlazhdennoe-900-g-110414.html
Колбаски Ближние Горки из свинины Баварские охлажденные 300 г,249руб/шт,300 г,Ближние Горки,https://vkusvill.ru//goods/kolbaski-blizhnie-gorki-iz-svininy-bavarskie-okhlazhdennye-300-g-109476.html
Фрикадельки свиные Ближние Горки охлажденные 360 г,209руб/шт,360 г,Ближние Горки,https://vkusvill.ru//goods/frikadelki-svinye-blizhnie-gorki-okhlazhdennye-360-g-55576.html
Фарш из филе ЦБ Троекурово Филейный 450 г,249руб/шт,450 г,Троекурово,https://vkusvill.ru//goods/farsh-iz-file-tsb-troekurovo-fileynyy-450-g-66854.html
Чевапчичи Агрокомплекс из куриного мяса охлажденные 350 г,261руб/шт,350 г,Агрокомплекс,https://vkusvill.ru//goods/chevapchichi-agrokompleks-iz-kurinogo-myasa-okhlazhdennye-350-g-109714.html
Купаты Агрокомплекс из куриного мяса Классические охлажденные 850 г,415руб/шт,850 г,Агрокомплекс,https://vkusvill.ru//goods/kupaty-agrokompleks-iz-kurinogo-myasa-klassicheskie-okhlazhdennye-850-g-109713.html
Фарш Агрокомплекс По-домашнему охлажденный 500 г,376руб/шт,500 г,Агрокомплекс,https://vkusvill.ru//goods/farsh-agrokompleks-po-domashnemu-okhlazhdennyy-500-g-109716.html
Фарш из мяса птицы Агрокомплекс охлажденный 500 г,277руб/шт,500 г,Агрокомплекс,https://vkusvill.ru//goods/farsh-iz-myasa-ptitsy-agrokompleks-okhlazhdennyy-500-g-109717.html
Купаты Ближние Горки из свинины Барбекю охлажденные 400 г,249руб/шт,400 г,Ближние Горки,https://vkusvill.ru//goods/kupaty-blizhnie-gorki-iz-svininy-barbekyu-okhlazhdennye-400-g-109473.html
Бекон Мираторг Любительский охлажденный 260 г,249руб/шт,260 г,Мираторг,https://vkusvill.ru//goods/bekon-miratorg-lyubitelskiy-okhlazhdennyy-260-g-108795.html
