name,price,weight,brand,link
Сыр Natura Легкий 16% (массовая доля жира в сухом веществе 30%) цилиндр 400 г,635руб/шт,400 г,Arla,https://vkusvill.ru//goods/syr-natura-legkiy-16-massovaya-dolya-zhira-v-sukhom-veshchestve-30-tsilindr-400-g-54251.html
Продукт рассольный Сиртаки для греческого салата Original 55% ЗМЖ 200 г,185руб/шт,200 г,Нева милк,https://vkusvill.ru//goods/produkt-rassolnyy-sirtaki-dlya-grecheskogo-salata-original-55-zmzh-200-g-56605.html
Сыр плавленый Viola с черным перцем Black Pepper 45% 140 г,149руб/шт,140 г,Viola,https://vkusvill.ru//goods/syr-plavlenyy-viola-s-chernym-pertsem-black-pepper-45-140-g-109288.html
Сыр творожный Violette Сливочный 70% 400 г,379руб/шт,400 г,Violette,https://vkusvill.ru//goods/syr-tvorozhnyy-violette-slivochnyy-70-400-g-76869.html
Сыр Natura Сливочный легкий 16% (массовая доля жира в сухом веществе 30%) нарезка 300 г,579руб/шт,300 г,Natura,https://vkusvill.ru//goods/syr-natura-slivochnyy-legkiy-16-massovaya-dolya-zhira-v-sukhom-veshchestve-30-narezka-300-g-79464.html
Сыр мягкий Mlekara Sabac А ла Каймак 60 % 250 г,229руб/шт,250 г,Mlekara Sabac,https://vkusvill.ru//goods/syr-myagkiy-mlekara-sabac-a-la-kaymak-60-250-g-108533.html
Сыр творожный Sveza Сливочный 60% ломтики 150 г,130руб/шт,150 г,Sveza,https://vkusvill.ru//goods/syr-tvorozhnyy-sveza-slivochnyy-60-lomtiki-150-g-58702.html
Сыр плавленый Viola Сливочный 400 г,465руб/шт,400 г,Viola,https://vkusvill.ru//goods/syr-plavlenyy-viola-slivochnyy-400-g-54819.html
Сыр плавленый Hochland Сливочный 45% в ломтиках 150 г,169руб/шт,150 г,Hochland,https://vkusvill.ru//goods/syr-plavlenyy-hochland-slivochnyy-45-v-lomtikakh-150-g-76197.html
Сыр Пармезан Dolce Granto 40% твердый 200 г,469руб/шт,200 г,Нева милк,https://vkusvill.ru//goods/syr-parmezan-dolce-granto-40-tverdyy-200-g-56604.html
Сыр Савушкин продукт Брест-Литовск Классический 45% полутвердый 200 г,299руб/шт,200 г,Савушкин продукт,https://vkusvill.ru//goods/syr-savushkin-produkt-brest-litovsk-klassicheskiy-45-polutverdyy-200-g-58694.html
Сыр Маскарпоне Pretto 80% 500 г,689руб/шт,500 г,Pretto,https://vkusvill.ru//goods/syr-maskarpone-pretto-80-500-g-44056.html
Сыр плавленый President Сливочный 45% 200 г,199руб/шт,200 г,President,https://vkusvill.ru//goods/syr-plavlenyy-president-slivochnyy-45-200-g-65235.html
Сыр творожный Almette Легкий 53% 150 г,219руб/шт,150 г,Альметте,https://vkusvill.ru//goods/syr-tvorozhnyy-almette-legkiy-53-150-g-76196.html
Сыр ЭкоНива Щучанский 50% полутвердый 200 г,239руб/шт,200 г,ЭкоНива,https://vkusvill.ru//goods/syr-ekoniva-shchuchanskiy-50-polutverdyy-200-g-92886.html
Сыр Рикотта Pretto 45% мягкий 500 г,316руб/шт,500 г,Pretto,https://vkusvill.ru//goods/syr-rikotta-pretto-45-myagkiy-500-g-90789.html
Сыр плавленый President Маасдам 45% 200 г,199руб/шт,200 г,President,https://vkusvill.ru//goods/syr-plavlenyy-president-maasdam-45-200-g-102729.html
Сыр Dolce Granto Пармезан 40% твердый тертый 150 г,395руб/шт,150 г,Dolce Granto,https://vkusvill.ru//goods/syr-dolce-granto-parmezan-40-tverdyy-tertyy-150-g-66571.html
Сыр Моцарелла Pretto кубики 45% 150 г,199руб/шт,150 г,Pretto,https://vkusvill.ru//goods/syr-motsarella-pretto-kubiki-45-150-g-97538.html
Сыр плавленый Hochland Сливочный 55% 200 г,249руб/шт,200 г,Hochland,https://vkusvill.ru//goods/syr-plavlenyy-hochland-slivochnyy-55-200-g-76320.html
Сыр плавленый Карат Дружба 45% 90 г,63руб/шт,90 г,Карат,https://vkusvill.ru//goods/syr-plavlenyy-karat-druzhba-45-90-g-76873.html
Сыр творожный Sveza Воздушный легкий 50% 150 г,144руб/шт,150 г,Sveza,https://vkusvill.ru//goods/syr-tvorozhnyy-sveza-vozdushnyy-legkiy-50-150-g-105316.html
Сыр плавленый President Сливочный 45% 140 г,149руб/шт,140 г,President,https://vkusvill.ru//goods/syr-plavlenyy-president-slivochnyy-45-140-g-65246.html
