name,price,weight,brand,link
"Котлеты по-домашнему Слово мясника, Сливочные, свинина и говядина, охлаждённые",199 ₽,360 г,,https://samokat.ru/product/7ee7b01c-5865-11ee-b10a-08c0eb31fffb
"Говяжий стейк Чак Ролл Стейковка, охлаждённый",329 ₽,200 г,,https://samokat.ru/product/f70c2f26-e1ff-11ee-b10b-08c0eb31fffb
"Фрикадельки Черкизово, Домашние, из свинины и говядины, охлаждённые",229 ₽,360 г,,https://samokat.ru/product/c6441875-fb11-11ea-8599-1c34dae33151
"Говяжий стейк Мачете Самокат, охлаждённый",514 ₽,200 г,,https://samokat.ru/product/173b94f7-66a1-11ee-b972-08c0eb32008b
"Говяжий стейк Рибай Самокат, с ароматным маслом, охлаждённый",559,200 г,,https://samokat.ru/product/fd9ec04b-864f-11ef-ae7a-08c0eb320147
"Стейк По-мексикански Индилайт, из индейки, охлаждённый",509 ₽,600 г,,https://samokat.ru/product/29933162-9006-11ec-b967-08c0eb32008b
"Стейк Индилайт, из грудки индейки",399 ₽,525 г,,https://samokat.ru/product/6305be46-612a-11e9-80c5-0cc47a817925
"Стейк Паризьен Мираторг Black Angus, из мраморной говядины, охлаждённый",679 ₽,290 г,,https://samokat.ru/product/286a0c9d-164e-11ec-a0ee-ec0d9a21b021
"Говяжий стейк Бавет Мясо есть!, охлаждённый",495 ₽,290 г,,https://samokat.ru/product/d4ba30d5-8d57-11ef-b10b-08c0eb31fffb
"Говяжий стейк Минутка Мясо есть!, в маринаде, охлаждённый",319 ₽,150 г,,https://samokat.ru/product/23bc5560-047d-11ee-885e-08c0eb32014b
"Стейк Ранчо Праймбиф, из мраморной говядины, охлаждённый",799 ₽,400 г,,https://samokat.ru/product/af85d3a2-a14b-11ed-885d-08c0eb32014b
"Стейк Минутка Праймбиф, из мраморной говядины, охлаждённый",825 ₽,400 г,,https://samokat.ru/product/1e8cf4e4-9fe9-11ea-bc7d-0050560306e1
"Говяжий стейк Чак Ролл Стейковка, охлаждённый",329 ₽,200 г,,https://samokat.ru/product/f70c2f26-e1ff-11ee-b10b-08c0eb31fffb
"Куриное филе бедра Самокат, с овощами, охлаждённое",509 ₽,900 г,,https://samokat.ru/product/521bbf8d-d7d0-11ed-885d-08c0eb32014b
"Куриный шашлык Самокат, в сливочном маринаде, охлаждённый",589 ₽,1 кг,,https://samokat.ru/product/7d857b07-9ff2-4c14-9d83-1eea58fb2df7
"Цыплёнок Самокат, в маринаде, охлаждённый",449 ₽,800 г,,https://samokat.ru/product/a5e3f174-d559-4f49-bee4-9f0c9e084bdf
"Котлеты Самокат, из мяса цыплёнка-бройлера, со сливочным маслом, охлаждённые",299 ₽,400 г,,https://samokat.ru/product/d33b468a-4ffc-40d1-a26d-2aee2236537a
"Куриные котлеты Самокат, в сухарях, охлаждённые",219 ₽,270 г,,https://samokat.ru/product/fbe7556d-e360-42c7-a692-4e1c4ab47697
"Мясо цыплёнка Ив. Курников Кур-нята, котлетное, охлаждённое",435 ₽,650 г,,https://samokat.ru/product/344d7df8-156d-428d-a21f-aee9904771a6
"Печень цыплёнка-бройлера Наша птичка, охлаждённая",166 ₽,490 г,,https://samokat.ru/product/3aac2b0a-9f9a-11ec-b967-08c0eb32008b
"Голень цыплёнка-бройлера Наша птичка, охлаждённая",325 ₽,900 г,,https://samokat.ru/product/f9c1aa9f-5f6d-11ed-b107-08c0eb31fffb
"Куриное филе Ника трейд Минутка, с прованскими травами, охлаждённое",329 ₽,350 г,,https://samokat.ru/product/aeaf08e8-1f8f-4d71-aede-471d07649cc4
"Филе грудки цыплёнка-бройлера Петелинка, кубики, охлаждённое",385 ₽,550 г,,https://samokat.ru/product/1027fcda-29fe-11ee-885f-08c0eb32014b
"Филе грудки цыплят-бройлеров Петелинка, По-мексикански, в соусе чураско, охлаждённое",405 ₽,450 г,,https://samokat.ru/product/e4e0b1df-6425-11ed-b96e-08c0eb32008b
"Фарш Петелинка, Премиум, из филе куриной грудки, охлаждённый",199 ₽,450 г,,https://samokat.ru/product/a28f73de-fd22-11ec-b96b-08c0eb32008b
"Плов Прямо с фермы, с мясом цыплёнка-бройлера, охлаждённый",399 ₽,700 г,,https://samokat.ru/product/48478ae3-0a41-11f0-aa3a-be3af2b6059f
